Popularity in 2005,,,,
Rank,Male name,Number of,Female name,Number of
,,males,,females
415,Carl,652,Linda,751
416,Beau,645,Kaylin,750
417,Roger,644,Hayden,747
418,Jamarion,640,Malia,741
419,Marshall,640,Clarissa,737
420,Omarion,639,Brynn,736
421,Jadon,637,Halle,735
422,Leonel,633,Skye,734
423,Jamari,631,Kassidy,733
424,Reid,627,Scarlett,733
425,Tommy,626,Phoebe,730
426,Zachery,626,Viviana,722
427,Dorian,625,America,719
428,Melvin,624,Krystal,719
429,Davion,621,Britney,717
430,Jon,619,Gloria,717
431,Noe,619,Rubi,716
432,Cohen,618,Francesca,714
433,Kelvin,617,Amya,712
434,Guillermo,616,Emilia,711
435,Jaylin,609,Anne,709
436,Jeffery,607,Shania,707
437,Rowan,603,Lana,705
438,Jaydon,600,Lacey,696
439,Deandre,599,Elaina,695
440,Justice,598,Ainsley,691
441,Nelson,594,Haylie,687
442,Noel,591,Madyson,684
443,Jessie,590,Emerson,683
444,Branden,588,Elisabeth,682
445,Felipe,582,Virginia,681
446,Kristian,580,Anya,680
447,Rodney,578,Bryanna,680
448,Nathanael,576,Lila,680
449,Jermaine,572,Maddison,680
450,Frederick,569,Ryan,676
451,Franklin,567,Kaleigh,675
452,Khalil,566,Cora,673
453,Skylar,563,Teresa,672
454,Brent,562,Tiana,669
455,Terrance,562,Nataly,667
456,Billy,560,Taryn,666
457,Dane,560,Alessandra,664
458,Jayce,560,Macie,664
459,Quinton,559,Miracle,663
460,Sam,557,Kiersten,662
461,Allan,555,Athena,659
462,Kenny,555,Valentina,657
463,Jamal,553,Brielle,656
464,Rogelio,548,Sarai,656
465,Quincy,547,Hallie,655
466,Nehemiah,545,Jaiden,653
467,Ahmad,542,Lena,653
468,Solomon,535,Regan,653
469,Izaiah,534,Alyson,652
470,Brendon,531,Noelle,652
471,Desmond,530,Whitney,652
472,Reed,530,Jane,651
473,Roy,530,Marley,651
474,Jaylon,528,Lilian,650
475,Phoenix,527,Raquel,648
476,Toby,527,Kaitlynn,647
477,Kody,526,Tania,645
478,Rene,524,Deanna,639
479,Mohamed,523,Janiyah,639
480,Osvaldo,522,Teagan,636
481,Terrell,519,Anaya,635
482,Tobias,516,Laney,635
483,Wilson,516,Aileen,633
484,Alvin,515,Amari,633
485,Conor,514,Tabitha,630
486,Jameson,513,Carley,628
487,Triston,510,Cristina,627
488,Cyrus,509,Ayanna,626
489,Tomas,509,Carolyn,626
490,Bobby,504,Emilie,624
491,Byron,503,Alisha,623
492,Craig,503,Liberty,622
493,Trevon,503,Lisa,619
494,Will,503,Raegan,619
495,Lincoln,502,Alanna,618
496,Pierce,502,Anika,613
497,Maximilian,497,India,613
498,Anderson,496,Jenny,613
499,Demetrius,496,Madilyn,610
500,Rodolfo,496,Baylee,606
501,Reginald,494,Jaelyn,606
502,Zackery,494,Abbigail,601
503,Rohan,493,Lillie,599
504,Bruce,490,Martha,595
505,Harley,486,Elle,594
506,Jett,486,Yadira,593
507,Wade,486,Marie,590
508,Damion,484,Natalee,590
509,Adolfo,483,Carla,584
510,Joey,482,Joy,584
511,Judah,481,Kailyn,583
512,Willie,481,Presley,582
513,Marlon,478,Tamia,581
514,Bailey,477,Hazel,577
515,Cruz,477,Laci,576
516,River,476,Mckayla,576
517,Isaias,475,Janelle,571
518,Moses,475,Destinee,566
519,Steve,475,Ashleigh,565
520,Gerald,472,Haleigh,562
521,Kellen,471,Kaelyn,562
522,Marquis,471,Isis,561
523,Kendall,470,Maia,558
524,Leon,470,Norah,558
525,Blaine,467,Jaqueline,556
526,Francis,463,Kali,554
527,Grady,462,Danna,548
528,Harry,459,Alexus,547
529,Finn,458,Sylvia,546
530,Gilberto,457,Larissa,545
531,Dayton,456,Dominique,543
532,Deven,456,Willow,542
533,Johnathon,456,Elisa,541
534,Alfonso,455,Isabela,539
535,Everett,455,Kristin,539
536,Titus,453,Justice,538
537,Alonzo,452,London,538
538,Jasper,451,Marlene,537
539,Gunnar,450,Melany,537
540,Malcolm,448,Macey,536
541,Talan,446,Carlie,534
542,Ben,445,Helena,529
543,Trace,445,Precious,529
544,Kobe,444,Renee,529
545,Rocco,442,Yasmine,528
546,Johan,439,Aspen,525
547,Ariel,438,Judith,525
548,Ulises,438,Brittney,524
549,Ezequiel,437,Madelynn,524
550,Jamie,435,Cara,522
551,Warren,435,Simone,522
552,Jamison,433,Adeline,521
553,Kendrick,433,Tia,521
554,Abram,432,Daphne,520
555,Rolando,431,Ellen,516
556,Jerome,429,Lia,516
557,Tristin,429,Monique,516
558,Orion,427,Dayana,513
559,Jairo,425,Kaley,513
560,Ahmed,424,Penelope,513
561,Devan,423,Janet,512
562,Damarion,422,Marilyn,512
563,Ray,420,Melina,510
564,Vicente,420,Gwendolyn,508
565,Greyson,418,Kierra,508
566,Gianni,417,Skyla,508
567,Kadin,413,Jessie,507
568,Ronnie,412,Mikaela,507
569,Stanley,410,Nathalie,503
570,Jase,409,Zoie,502
571,Kieran,408,Amara,501
572,Ramiro,408,Sharon,501
573,Brodie,407,Kenzie,500
574,Porter,405,Aubree,499
575,Tyrone,405,Kailee,499
576,Colten,404,Maci,499
577,Darrell,404,Jaida,498
578,Terrence,403,Carissa,497
579,Jarrett,398,Lilliana,495
580,Alvaro,395,Irene,491
581,Addison,393,Lexie,490
582,Braiden,391,Janessa,488
583,Todd,390,Lorena,488
584,Emerson,387,Sonia,488
585,Kolby,387,Delilah,487
586,Rudy,386,Tiara,487
587,Ibrahim,385,Araceli,486
588,Davin,384,Susan,485
589,Lee,384,Juliet,484
590,Leonard,384,Krista,482
591,Cedric,382,Kimora,481
592,Deshawn,381,Amira,480
593,Keenan,381,Alma,479
594,Emmett,380,Luna,477
595,Alijah,379,Gina,476
596,Neil,379,Jazmyn,476
597,Quintin,379,Regina,476
598,Gilbert,378,Karissa,474
599,Karson,378,Maribel,474
600,Elisha,377,Reyna,474
601,Kole,376,Kasey,473
602,Randall,375,Lea,473
603,Aldo,373,Luz,472
604,Darian,373,Patience,472
605,Davon,373,Shaniya,470
606,Ronan,372,Elaine,469
607,Cristopher,371,Saniya,469
608,Leland,371,Dylan,468
609,Junior,369,Jaidyn,467
610,Romeo,369,Danica,465
611,Antoine,368,Kenya,465
612,Efrain,366,Arely,462
613,Jaquan,366,Tess,461
614,Irvin,365,Carlee,459
615,Waylon,365,Cristal,459
616,Coleman,363,Mariam,459
617,Camren,359,Janae,458
618,Dominik,359,Jolie,457
619,Duncan,359,Katlyn,457
620,Gunner,358,Pamela,457
621,Aron,357,Abbey,453
622,Alexzander,356,Arielle,451
623,Talon,356,Haven,451
624,Jabari,355,Cali,450
625,Kolton,355,Hadley,450
626,Mohammed,354,Kayden,450
627,Harold,349,Edith,446
628,Amarion,348,Abbie,445
629,Asa,348,Juliette,444
630,Jefferson,348,Karlee,444
631,Amare,347,Kennedi,444
632,Brice,347,Mayra,443
633,Misael,346,Noemi,443
634,Kasey,345,Emmalee,441
635,Mohammad,345,Monserrat,441
636,August,343,Cheyanne,440
637,Draven,341,Theresa,439
638,Julien,341,Kayley,438
639,Brycen,340,Tamara,438
640,Eugene,340,Ann,435
641,Kamron,340,Jamya,435
642,Maximiliano,340,Kaya,435
